NO.	E_type1	Entity1	E_type2	Entity2	KeyWord	Relation
fkjwsr5p 	Disease	lung inflammation	CPM	Guizhi	: null	JUXSTAPOSE
fkjwsr5p 	Disease	lung inflammation	CPM	zhimahuang	: null	JUXSTAPOSE
xk6vdre4 	Disease	AMR	CPM	Huangqi	: null	JUXSTAPOSE
xk6vdre4 	Disease	AMR	CPM	Baizhu	: null	JUXSTAPOSE
xk6vdre4 	Disease	AMR	CPM	Fangfeng	: null	JUXSTAPOSE
emr47mdy 	Disease	AMR	CPM	Huangqi	: null	JUXSTAPOSE
emr47mdy 	Disease	AMR	CPM	Baizhu	: null	JUXSTAPOSE
emr47mdy 	Disease	AMR	CPM	Fangfeng	: null	JUXSTAPOSE
emr47mdy 	Disease	inflammatory bowel diseases	CPM	Huangqi	: null	JUXSTAPOSE
emr47mdy 	Disease	inflammatory bowel diseases	CPM	Baizhu	: null	JUXSTAPOSE
emr47mdy 	Disease	inflammatory bowel diseases	CPM	Fangfeng	: null	JUXSTAPOSE
emr47mdy 	Disease	IBD	CPM	Huangqi	: null	JUXSTAPOSE
emr47mdy 	Disease	IBD	CPM	Baizhu	: null	JUXSTAPOSE
emr47mdy 	Disease	IBD	CPM	Fangfeng	: null	JUXSTAPOSE
oaceknrb 	Disease	Gastrointestinal Diseases	Herbs	Huo-Xiang	: null	JUXSTAPOSE
oaceknrb 	Disease	Gastrointestinal Diseases	CPM	Huo-Xiang	: null	JUXSTAPOSE
dxl7wvcx 	Disease	allergic inflammation	CPM	Danpi	: null	JUXSTAPOSE
i2l4cq8h 	Disease	cancers	CPM	Donglingcao	: null	JUXSTAPOSE
i2l4cq8h 	Disease	cancers	CPM	Chaihu	: null	JUXSTAPOSE
i2l4cq8h 	Disease	cancers	CPM	chuanxiong	: null	JUXSTAPOSE
i2l4cq8h 	Disease	neurodegeneration and cardiovascular disease via autophagy	CPM	Donglingcao	: null	JUXSTAPOSE
i2l4cq8h 	Disease	neurodegeneration and cardiovascular disease via autophagy	CPM	Chaihu	: null	JUXSTAPOSE
i2l4cq8h 	Disease	neurodegeneration and cardiovascular disease via autophagy	CPM	chuanxiong	: null	JUXSTAPOSE
h73ya64e 	Disease	cancer	CPM	Huanglian	: null	JUXSTAPOSE
h73ya64e 	Disease	cancer	CPM	Huanglian	: null	JUXSTAPOSE
kn49944q 	Disease	Acute Upper Respiratory Tract Infections	CPM	huangqin	: null	JUXSTAPOSE
kn49944q 	Disease	Acute Upper Respiratory Tract Infections	CPM	huangqi	: null	JUXSTAPOSE
3leutp70 	Disease	breast cancer	CPM	danshen	: null	JUXSTAPOSE
3leutp70 	Disease	breast cancer	CPM	yunzhi	: null	JUXSTAPOSE
3leutp70 	Disease	breast cancer	CPM	danshen	: given	give on
3leutp70 	Disease	breast cancer	CPM	yunzhi	: given	give on
